
,,Sales Person,Geography,Product,Date,Sales,Boxes
,,Kelci Walkden,UK ,White Choc,11/30/2023,8005.5,187
,,Brien Boise,Australia   ,85% Dark Bars,12/05/2023,1748.25,365
,,Jan Morforth,Australia,50% Dark Bites,02/07/2024,6284.25,203
,,Jehu Rudeforth,USA   ,Raspberry Choco,10/20/2023,859.5,779
,,Van Tuxwell,Australia   ,Smooth Silky Salty,04/12/2023,17860.5,71
,,Rafaelita Blaksland,Canada,Peanut Butter Cubes,01/31/2024,7197.75,389
,,Kelci Walkden,Canada   ,Mint Chip Choco,02/08/2023,6619.5,262
,,Kelci Walkden,Australia,Choco Coated Almonds,09/20/2023,1050.75,72
,,Dotty Strutley,UK  ,Raspberry Choco,02/16/2024,10561.5,718
,,Camilla Castle,Canada  ,Orange Choco,05/26/2023,5208.75,245
,,Van Tuxwell,India  ,99% Dark & Pure,10/13/2023,6752.25,398
,,Oby Sorrel,New Zealand   ,Almond Choco,04/07/2023,3838.5,164
,,Dennison Crosswaite,India ,After Nines,11/28/2023,10046.25,200
,,Gigi Bohling,UK ,Spicy Special Slims,01/03/2024,7344,130
,,Dotty Strutley,UK ,Orange Choco,04/18/2023,4072.5,563
,,Dennison Crosswaite,India   ,Peanut Butter Cubes,02/05/2024,5325.75,213
,,Camilla Castle,New Zealand,Organic Choco Syrup,11/14/2023,4261.5,744
,,Ches Bonnell,India ,Orange Choco,02/09/2023,11169,322
,,Van Tuxwell,New Zealand   ,99% Dark & Pure,01/26/2024,4295.25,44
,,Gigi Bohling,New Zealand  ,Choco Coated Almonds,02/05/2024,974.25,252
,,Gigi Bohling,New Zealand,Eclairs,11/10/2023,4916.25,766
,,Andria Kimpton,Australia,Mint Chip Choco,10/11/2023,7742.25,681
,,Andria Kimpton,India   ,Spicy Special Slims,06/07/2023,4979.25,82
,,Ches Bonnell,USA  ,Milk Bars,02/21/2023,6070.5,501
,,Jan Morforth,Australia,99% Dark & Pure,11/16/2023,4758.75,70
,,Kelci Walkden,UK   ,Mint Chip Choco,03/31/2023,5719.5,41
,,Ches Bonnell,Canada   ,Fruit & Nut Bars,07/06/2023,2079,1115
,,Mallorie Waber,UK,Organic Choco Syrup,09/20/2023,3442.5,286
,,Van Tuxwell,Australia  ,50% Dark Bites,04/07/2023,1023.75,75
,,Gunar Cockshoot,UK  ,70% Dark Bites,04/26/2023,4000.5,1571
,,Kaine Padly,Canada  ,Almond Choco,03/14/2023,16980.75,366
,,Gunar Cockshoot,UK   ,Baker's Choco Chips,02/07/2024,6054.75,477
,,Jan Morforth,Canada,Drinking Coco,10/09/2023,5373,903
,,Curtice Advani,UK   ,Drinking Coco,06/12/2023,6664.5,130
,,Oby Sorrel,India  ,Drinking Coco,12/07/2023,7038,414
,,Gigi Bohling,Australia ,Peanut Butter Cubes,05/04/2023,8664.75,16
,,Jan Morforth,USA  ,Orange Choco,12/06/2023,4668.75,34
,,Madelene Upcott,Canada  ,Drinking Coco,11/06/2023,6304.5,274
,,Gunar Cockshoot,New Zealand   ,Fruit & Nut Bars,02/16/2024,7269.75,718
,,Beverie Moffet,Canada ,Fruit & Nut Bars,10/23/2023,9524.25,653
,,Jan Morforth,New Zealand,Spicy Special Slims,07/07/2023,3611.25,181
,,Kaine Padly,Canada ,Fruit & Nut Bars,02/16/2024,6905.25,202
,,Beverie Moffet,India ,Orange Choco,02/21/2024,8536.5,144
,,Camilla Castle,India  ,Raspberry Choco,12/22/2023,243,17
,,Rafaelita Blaksland,New Zealand  ,Mint Chip Choco,08/01/2023,1426.5,117
,,Jan Morforth,USA ,Spicy Special Slims,07/11/2023,3935.25,71
,,Kelci Walkden,USA ,Baker's Choco Chips,01/29/2024,9303.75,216
,,Curtice Advani,Australia ,Choco Coated Almonds,06/21/2023,6417,510
,,Curtice Advani,Australia   ,Fruit & Nut Bars,04/20/2023,3343.5,228
,,Gigi Bohling,Canada   ,Manuka Honey Choco,10/16/2023,7924.5,531
,,Curtice Advani,Australia   ,Baker's Choco Chips,06/28/2023,2279.25,154
,,Andria Kimpton,Australia   ,Caramel Stuffed Bars,01/31/2024,5901.75,210
,,Roddy Speechley,Australia  ,Eclairs,07/19/2023,3919.5,220
,,Roddy Speechley,New Zealand  ,Peanut Butter Cubes,08/21/2023,9906.75,21
,,Camilla Castle,India ,Organic Choco Syrup,03/10/2023,913.5,209
,,Wilone O'Kielt,Australia  ,99% Dark & Pure,01/02/2024,6970.5,279
,,Beverie Moffet,Canada   ,White Choc,01/10/2024,5757.75,137
,,Kaine Padly,New Zealand   ,Milk Bars,05/05/2023,4873.5,127
,,Dotty Strutley,USA   ,Almond Choco,06/07/2023,1730.25,345
,,Jehu Rudeforth,USA   ,Almond Choco,10/03/2023,11976.75,196
,,Marney O'Breen,USA,Raspberry Choco,12/18/2023,3075.75,507
,,Beverie Moffet,USA,Almond Choco,07/21/2023,4250.25,849
,,Gigi Bohling,USA  ,After Nines,04/10/2023,9886.5,58
,,Rafaelita Blaksland,New Zealand   ,Peanut Butter Cubes,08/18/2023,6187.5,104
,,Kelci Walkden,Canada  ,Caramel Stuffed Bars,02/20/2024,747,312
,,Madelene Upcott,India   ,Spicy Special Slims,07/20/2023,1545.75,104
,,Jehu Rudeforth,USA   ,Manuka Honey Choco,06/20/2023,16035.75,54
,,Van Tuxwell,Canada,Organic Choco Syrup,02/01/2023,9128.25,382
,,Brien Boise,UK,Caramel Stuffed Bars,02/20/2024,3588.75,52
,,Gigi Bohling,India  ,Eclairs,02/01/2024,51.75,663
,,Camilla Castle,India  ,Milk Bars,01/19/2024,11236.5,374
,,Kaine Padly,USA   ,Almond Choco,02/14/2023,8464.5,110
,,Andria Kimpton,India   ,Milk Bars,02/26/2024,6336,215
,,Gigi Bohling,India,After Nines,02/16/2024,2479.5,179
,,Barr Faughny,India ,Mint Chip Choco,10/12/2023,1683,76
,,Madelene Upcott,USA,Almond Choco,02/24/2023,2115,27
,,Oby Sorrel,Australia ,50% Dark Bites,02/09/2024,348.75,42
,,Dotty Strutley,India  ,After Nines,05/05/2023,9490.5,315
,,Barr Faughny,USA ,Fruit & Nut Bars,02/28/2024,9290.25,417
,,Curtice Advani,USA ,Milk Bars,04/10/2023,3021.75,139
,,Marney O'Breen,Australia  ,White Choc,08/25/2023,8802,308
,,Kelci Walkden,USA,Fruit & Nut Bars,10/06/2023,6981.75,148
,,Wilone O'Kielt,Australia  ,Manuka Honey Choco,02/10/2023,6331.5,623
,,Gigi Bohling,USA  ,Spicy Special Slims,06/23/2023,1458,59
,,Wilone O'Kielt,Canada ,Peanut Butter Cubes,12/13/2023,4605.75,24
,,Curtice Advani,USA  ,Smooth Silky Salty,03/03/2023,12334.5,56
,,Oby Sorrel,New Zealand ,White Choc,02/07/2024,7710.75,42
,,Wilone O'Kielt,Australia   ,Smooth Silky Salty,05/09/2023,4227.75,35
,,Dennison Crosswaite,Canada   ,Organic Choco Syrup,08/22/2023,6871.5,207
,,Husein Augar,Canada   ,Peanut Butter Cubes,01/02/2024,6702.75,365
,,Madelene Upcott,UK ,Drinking Coco,08/14/2023,4542.75,217
,,Kaine Padly,New Zealand,Fruit & Nut Bars,01/25/2024,7249.5,744
,,Wilone O'Kielt,New Zealand ,Choco Coated Almonds,12/08/2023,5053.5,145
,,Madelene Upcott,New Zealand   ,Eclairs,02/16/2024,2373.75,495
,,Camilla Castle,Australia   ,85% Dark Bars,10/27/2023,1449,427
,,Ches Bonnell,New Zealand ,Manuka Honey Choco,12/13/2023,5656.5,75
,,Dotty Strutley,India,Manuka Honey Choco,08/23/2023,2324.25,104
,,Jehu Rudeforth,Canada,Organic Choco Syrup,10/12/2023,5501.25,222
,,Brien Boise,USA,Milk Bars,10/12/2023,11848.5,8
,,Barr Faughny,USA  ,50% Dark Bites,08/01/2023,1080,514
,,Oby Sorrel,USA,Milk Bars,02/08/2023,1806.75,329
,,Barr Faughny,New Zealand ,Spicy Special Slims,02/20/2024,4608,125
,,Dotty Strutley,Canada ,Smooth Silky Salty,02/14/2024,7737.75,27
,,Roddy Speechley,UK   ,Peanut Butter Cubes,01/09/2024,9839.25,380
,,Jan Morforth,Canada,Eclairs,07/21/2023,1593,777
,,Gigi Bohling,India ,Milk Bars,05/23/2023,6192,38
,,Husein Augar,Canada,Caramel Stuffed Bars,06/07/2023,8813.25,274
,,Kelci Walkden,New Zealand,50% Dark Bites,02/24/2023,9339.75,97
,,Madelene Upcott,India ,99% Dark & Pure,02/01/2024,9553.5,359
,,Marney O'Breen,Canada ,70% Dark Bites,09/05/2023,2900.25,933
,,Jan Morforth,New Zealand   ,Smooth Silky Salty,02/27/2024,3048.75,112
,,Madelene Upcott,USA,Milk Bars,06/12/2023,186.75,127
,,Dotty Strutley,Canada,Drinking Coco,09/08/2023,4536,65
,,Beverie Moffet,India,Spicy Special Slims,07/26/2023,954,567
,,Karlen McCaffrey,UK  ,Orange Choco,02/28/2023,11128.5,263
,,Beverie Moffet,Canada,Eclairs,01/31/2024,4925.25,810
,,Van Tuxwell,New Zealand,Drinking Coco,05/18/2023,6270.75,459
,,Jan Morforth,India  ,85% Dark Bars,01/26/2024,4657.5,271
,,Jehu Rudeforth,Canada   ,Fruit & Nut Bars,07/10/2023,2238.75,553
,,Oby Sorrel,Australia,Smooth Silky Salty,08/28/2023,5276.25,65
,,Jan Morforth,USA  ,Baker's Choco Chips,12/11/2023,7575.75,843
,,Van Tuxwell,New Zealand ,Manuka Honey Choco,02/08/2024,7830,188
,,Kelci Walkden,Australia ,50% Dark Bites,09/07/2023,976.5,2
,,Kaine Padly,India ,Spicy Special Slims,06/08/2023,10635.75,299
,,Andria Kimpton,UK ,Manuka Honey Choco,02/23/2024,9947.25,168
,,Madelene Upcott,Australia ,Fruit & Nut Bars,10/12/2023,10998,587
,,Dennison Crosswaite,Australia   ,99% Dark & Pure,10/12/2023,4509,242
,,Camilla Castle,New Zealand  ,99% Dark & Pure,07/10/2023,7751.25,311
,,Dotty Strutley,India,Drinking Coco,02/15/2024,5528.25,19
,,Oby Sorrel,New Zealand,Organic Choco Syrup,03/17/2023,5100.75,79
,,Van Tuxwell,UK  ,Organic Choco Syrup,01/23/2024,4243.5,79
,,Jan Morforth,USA ,Manuka Honey Choco,05/05/2023,7980.75,255
,,Dennison Crosswaite,New Zealand   ,85% Dark Bars,05/04/2023,479.25,170
,,Beverie Moffet,UK,After Nines,06/29/2023,6923.25,373
,,Ches Bonnell,India   ,White Choc,11/30/2023,1995.75,669
,,Gunar Cockshoot,India  ,Baker's Choco Chips,11/14/2023,5166,1239
,,Gigi Bohling,Australia ,50% Dark Bites,09/01/2023,13826.25,11
,,Jehu Rudeforth,Canada ,Raspberry Choco,02/28/2024,16665.75,494
,,Roddy Speechley,Canada   ,Choco Coated Almonds,03/23/2023,4529.25,117
,,Kaine Padly,USA,After Nines,06/22/2023,2958.75,438
,,Gunar Cockshoot,India   ,Almond Choco,01/30/2024,5076,11
,,Kelci Walkden,UK  ,50% Dark Bites,03/29/2023,8682.75,403
,,Mallorie Waber,USA  ,Eclairs,09/20/2023,1613.25,431
,,Gunar Cockshoot,New Zealand,99% Dark & Pure,02/14/2024,8253,254
,,Kaine Padly,India  ,After Nines,10/16/2023,571.5,214
,,Barr Faughny,Australia,Organic Choco Syrup,01/12/2024,13808.25,975
,,Mallorie Waber,Canada  ,85% Dark Bars,09/21/2023,1604.25,489
,,Husein Augar,India  ,Spicy Special Slims,07/13/2023,7794,44
,,Roddy Speechley,India ,Mint Chip Choco,08/11/2023,1887.75,115
,,Mallorie Waber,India  ,Eclairs,11/10/2023,2929.5,535
,,Roddy Speechley,New Zealand  ,Caramel Stuffed Bars,03/29/2023,7780.5,547
,,Madelene Upcott,India  ,Smooth Silky Salty,01/22/2024,1185.75,411
,,Camilla Castle,New Zealand   ,After Nines,04/19/2023,7562.25,294
,,Marney O'Breen,India  ,Smooth Silky Salty,03/21/2023,2367,561
,,Kaine Padly,New Zealand,Choco Coated Almonds,11/03/2023,222.75,108
,,Marney O'Breen,UK   ,Smooth Silky Salty,07/28/2023,1935,77
,,Oby Sorrel,India ,Smooth Silky Salty,05/31/2023,5098.5,200
,,Wilone O'Kielt,India,Baker's Choco Chips,07/25/2023,7503.75,1028
,,Mallorie Waber,USA   ,99% Dark & Pure,02/29/2024,4518,154
,,Wilone O'Kielt,Canada  ,Organic Choco Syrup,01/19/2024,4531.5,297
,,Wilone O'Kielt,New Zealand  ,Fruit & Nut Bars,08/28/2023,5510.25,181
,,Dotty Strutley,USA   ,Caramel Stuffed Bars,02/24/2023,409.5,571
,,Wilone O'Kielt,New Zealand ,Raspberry Choco,11/29/2023,9429.75,806
,,Oby Sorrel,Canada ,Organic Choco Syrup,04/04/2023,6336,702
,,Mallorie Waber,USA,Choco Coated Almonds,06/27/2023,1489.5,42
,,Rafaelita Blaksland,Australia  ,Organic Choco Syrup,02/23/2023,1775.25,220
,,Kelci Walkden,India   ,Smooth Silky Salty,03/17/2023,4068,110
,,Gunar Cockshoot,Canada  ,85% Dark Bars,12/04/2023,4151.25,247
,,Jan Morforth,UK,Spicy Special Slims,02/08/2023,681.75,126
,,Gigi Bohling,Canada   ,Choco Coated Almonds,08/01/2023,3879,277
,,Barr Faughny,UK,99% Dark & Pure,07/20/2023,4905,434
,,Van Tuxwell,Canada   ,Caramel Stuffed Bars,12/20/2023,4851,326
,,Gigi Bohling,Canada  ,Smooth Silky Salty,02/26/2024,8698.5,429
,,Oby Sorrel,New Zealand,Caramel Stuffed Bars,05/04/2023,12960,916
,,Husein Augar,Australia,Drinking Coco,03/07/2023,2270.25,98
,,Camilla Castle,Canada  ,Eclairs,07/14/2023,4338,274
,,Karlen McCaffrey,UK,Choco Coated Almonds,02/09/2024,726.75,417
,,Roddy Speechley,UK ,Mint Chip Choco,10/23/2023,2241,177
,,Ches Bonnell,USA  ,White Choc,10/02/2023,7823.25,111
,,Gunar Cockshoot,USA ,Eclairs,10/04/2023,3935.25,901
,,Husein Augar,USA,50% Dark Bites,12/07/2023,3870,39
,,Oby Sorrel,Canada ,Baker's Choco Chips,08/15/2023,4212,471
,,Husein Augar,Australia  ,After Nines,07/10/2023,4965.75,159
,,Andria Kimpton,India   ,Drinking Coco,06/13/2023,6230.25,100
,,Kelci Walkden,Canada  ,Spicy Special Slims,10/18/2023,9123.75,146
,,Karlen McCaffrey,USA,After Nines,07/14/2023,4448.25,54
,,Rafaelita Blaksland,UK  ,Mint Chip Choco,09/27/2023,7629.75,820
,,Jan Morforth,New Zealand ,85% Dark Bars,08/02/2023,6970.5,100
,,Dennison Crosswaite,USA ,50% Dark Bites,05/19/2023,175.5,89
,,Barr Faughny,USA  ,Choco Coated Almonds,06/30/2023,8057.25,1236
,,Brien Boise,UK ,Drinking Coco,09/05/2023,4765.5,175
,,Gunar Cockshoot,UK,50% Dark Bites,02/08/2023,3555,255
,,Curtice Advani,Canada  ,Eclairs,02/02/2024,3906,280
,,Jan Morforth,New Zealand  ,Choco Coated Almonds,02/01/2023,5357.25,337
,,Madelene Upcott,UK,Baker's Choco Chips,02/28/2023,3804.75,1112
,,Beverie Moffet,New Zealand,Fruit & Nut Bars,01/10/2024,7114.5,266
,,Ches Bonnell,New Zealand   ,Smooth Silky Salty,03/08/2023,2931.75,184
,,Van Tuxwell,India ,50% Dark Bites,08/22/2023,6997.5,40
,,Gunar Cockshoot,UK  ,85% Dark Bars,06/02/2023,3010.5,240
,,Madelene Upcott,Canada   ,White Choc,03/24/2023,12856.5,511
,,Marney O'Breen,USA ,After Nines,12/11/2023,4720.5,104
,,Gigi Bohling,UK ,Orange Choco,08/15/2023,3933,413
,,Jehu Rudeforth,India ,Milk Bars,09/21/2023,6536.25,69
,,Oby Sorrel,Canada ,Orange Choco,05/22/2023,3012.75,80
,,Andria Kimpton,Australia  ,Manuka Honey Choco,05/25/2023,8127,50
,,Dennison Crosswaite,New Zealand ,Orange Choco,11/06/2023,8390.25,162
,,Kaine Padly,New Zealand  ,Almond Choco,06/16/2023,7312.5,363
,,Curtice Advani,UK,Manuka Honey Choco,02/10/2023,9645.75,71
,,Dotty Strutley,Canada ,85% Dark Bars,09/14/2023,7247.25,248
,,Jehu Rudeforth,USA  ,70% Dark Bites,12/27/2023,11679.75,172
,,Gunar Cockshoot,UK  ,Raspberry Choco,01/17/2024,2281.5,545
,,Roddy Speechley,India   ,Fruit & Nut Bars,08/10/2023,8691.75,206
,,Husein Augar,Canada   ,White Choc,06/09/2023,7978.5,391
,,Dennison Crosswaite,Australia,85% Dark Bars,03/14/2023,3237.75,387
,,Barr Faughny,Australia   ,After Nines,12/13/2023,2313,353
,,Mallorie Waber,New Zealand ,Peanut Butter Cubes,02/01/2023,3883.5,335
,,Beverie Moffet,India,Drinking Coco,05/31/2023,5656.5,193
,,Kaine Padly,UK,Mint Chip Choco,06/28/2023,13205.25,234
,,Gigi Bohling,New Zealand ,Peanut Butter Cubes,08/01/2023,4981.5,151
,,Roddy Speechley,UK   ,70% Dark Bites,11/17/2023,2506.5,1023
,,Dennison Crosswaite,Canada,Smooth Silky Salty,04/27/2023,15255,73
,,Gigi Bohling,UK   ,Smooth Silky Salty,10/26/2023,6558.75,367
,,Madelene Upcott,New Zealand   ,After Nines,02/22/2023,4556.25,126
,,Jan Morforth,UK   ,99% Dark & Pure,09/22/2023,8964,132
,,Dennison Crosswaite,Australia   ,Raspberry Choco,02/24/2023,3109.5,164
,,Jan Morforth,Australia  ,Caramel Stuffed Bars,01/17/2024,1451.25,426
,,Van Tuxwell,Canada,Almond Choco,03/14/2023,2781,42
,,Marney O'Breen,USA   ,Choco Coated Almonds,05/19/2023,1559.25,52
,,Husein Augar,Canada ,Organic Choco Syrup,01/11/2024,9814.5,93
,,Wilone O'Kielt,USA ,White Choc,12/04/2023,8946,637
,,Andria Kimpton,India,85% Dark Bars,09/26/2023,15579,471
,,Dennison Crosswaite,New Zealand  ,Organic Choco Syrup,02/06/2023,4801.5,1126
,,Rafaelita Blaksland,Canada   ,Choco Coated Almonds,04/25/2023,1712.25,436
,,Dennison Crosswaite,UK ,50% Dark Bites,11/20/2023,11920.5,126
,,Andria Kimpton,Australia,Almond Choco,12/06/2023,7305.75,144
,,Brien Boise,USA,99% Dark & Pure,05/08/2023,8577,228
,,Gigi Bohling,USA ,Manuka Honey Choco,02/09/2024,3766.5,178
,,Oby Sorrel,India  ,Caramel Stuffed Bars,10/20/2023,7211.25,216
,,Husein Augar,New Zealand,99% Dark & Pure,09/27/2023,4695.75,200
,,Gunar Cockshoot,New Zealand  ,85% Dark Bars,11/03/2023,931.5,994
,,Dotty Strutley,Australia ,Peanut Butter Cubes,09/27/2023,3674.25,288
,,Rafaelita Blaksland,Canada,Raspberry Choco,10/31/2023,13983.75,357
,,Dotty Strutley,India ,Almond Choco,02/20/2024,4239,635
,,Van Tuxwell,USA ,Choco Coated Almonds,06/07/2023,2875.5,276
,,Beverie Moffet,New Zealand  ,Baker's Choco Chips,12/14/2023,12982.5,216
,,Barr Faughny,India   ,50% Dark Bites,09/11/2023,427.5,75
,,Dotty Strutley,Australia,70% Dark Bites,06/09/2023,7485.75,796
,,Ches Bonnell,Canada  ,50% Dark Bites,08/25/2023,9618.75,335
,,Kaine Padly,New Zealand,After Nines,04/26/2023,8005.5,307
,,Andria Kimpton,Canada   ,Caramel Stuffed Bars,12/08/2023,9735.75,1643
,,Ches Bonnell,USA  ,Caramel Stuffed Bars,09/29/2023,704.25,432
,,Jehu Rudeforth,UK   ,Milk Bars,08/16/2023,8615.25,102
,,Karlen McCaffrey,UK ,99% Dark & Pure,09/06/2023,2535.75,314
,,Madelene Upcott,Australia,Manuka Honey Choco,12/11/2023,7357.5,579
,,Jehu Rudeforth,UK  ,Organic Choco Syrup,07/25/2023,8745.75,212
,,Curtice Advani,Australia ,Caramel Stuffed Bars,03/24/2023,5775.75,79
,,Husein Augar,New Zealand ,Organic Choco Syrup,02/21/2024,10089,56
,,Gunar Cockshoot,India,Mint Chip Choco,07/25/2023,3003.75,116
,,Roddy Speechley,New Zealand   ,Eclairs,06/28/2023,5197.5,63
,,Gigi Bohling,UK   ,Organic Choco Syrup,10/12/2023,4506.75,233
,,Rafaelita Blaksland,New Zealand,50% Dark Bites,10/26/2023,4448.25,66
,,Wilone O'Kielt,USA ,Smooth Silky Salty,12/07/2023,12971.25,273
,,Roddy Speechley,New Zealand   ,Drinking Coco,05/29/2023,6293.25,410
,,Roddy Speechley,Australia   ,70% Dark Bites,01/03/2024,4423.5,469
,,Oby Sorrel,UK ,After Nines,11/13/2023,7807.5,594
,,Oby Sorrel,UK   ,70% Dark Bites,12/07/2023,10309.5,197
,,Van Tuxwell,New Zealand  ,Peanut Butter Cubes,06/27/2023,7366.5,382
,,Andria Kimpton,USA   ,Peanut Butter Cubes,08/02/2023,5991.75,460
,,Madelene Upcott,Canada ,Organic Choco Syrup,03/08/2023,1278,94
,,Mallorie Waber,New Zealand  ,Smooth Silky Salty,06/28/2023,10341,80
,,Kaine Padly,USA,Manuka Honey Choco,01/10/2024,14031,393
,,Kelci Walkden,UK ,Fruit & Nut Bars,03/02/2023,10260,413
,,Dotty Strutley,Canada  ,Raspberry Choco,07/17/2023,3174.75,687
,,Curtice Advani,New Zealand  ,85% Dark Bars,02/27/2024,1530,571
,,Karlen McCaffrey,Canada,Manuka Honey Choco,10/16/2023,13142.25,103
,,Karlen McCaffrey,USA ,Caramel Stuffed Bars,10/09/2023,15293.25,32
,,Karlen McCaffrey,Canada,Fruit & Nut Bars,03/02/2023,4326.75,25
,,Curtice Advani,New Zealand,Almond Choco,08/21/2023,2749.5,178
,,Camilla Castle,New Zealand   ,Eclairs,09/15/2023,735.75,708
,,Oby Sorrel,UK  ,Manuka Honey Choco,01/22/2024,15792.75,153
,,Rafaelita Blaksland,Australia,Milk Bars,06/15/2023,5220,172
,,Kelci Walkden,India  ,Milk Bars,12/26/2023,1955.25,108
,,Kaine Padly,New Zealand   ,Caramel Stuffed Bars,09/22/2023,2139.75,259
,,Wilone O'Kielt,Australia ,70% Dark Bites,10/27/2023,3843,383
,,Curtice Advani,UK,Orange Choco,07/03/2023,3330,402
,,Jan Morforth,New Zealand ,Mint Chip Choco,06/02/2023,1579.5,60
,,Marney O'Breen,UK   ,Caramel Stuffed Bars,04/27/2023,9472.5,33
,,Kaine Padly,New Zealand,Orange Choco,07/28/2023,8093.25,343
,,Mallorie Waber,India   ,After Nines,07/14/2023,9047.25,473
,,Barr Faughny,Canada,Raspberry Choco,07/12/2023,6270.75,183
,,Wilone O'Kielt,India  ,Milk Bars,09/27/2023,3485.25,268
,,Brien Boise,New Zealand  ,Manuka Honey Choco,08/18/2023,2911.5,530
,,Roddy Speechley,USA ,Baker's Choco Chips,01/10/2024,3723.75,7
,,Camilla Castle,Canada  ,Spicy Special Slims,03/29/2023,117,103
,,Oby Sorrel,Canada   ,Smooth Silky Salty,12/08/2023,4221,135
,,Karlen McCaffrey,Australia   ,99% Dark & Pure,12/11/2023,11664,30
,,Dotty Strutley,New Zealand,Choco Coated Almonds,11/08/2023,15311.25,90
,,Jan Morforth,UK,Almond Choco,06/08/2023,5609.25,375
,,Rafaelita Blaksland,India  ,Raspberry Choco,10/09/2023,1377,1050
,,Oby Sorrel,UK ,99% Dark & Pure,05/25/2023,9742.5,488
,,Wilone O'Kielt,New Zealand,After Nines,07/21/2023,2542.5,596
,,Karlen McCaffrey,Australia ,70% Dark Bites,06/01/2023,3339,27
,,Marney O'Breen,Canada ,Eclairs,12/04/2023,5040,256
,,Mallorie Waber,New Zealand ,Orange Choco,01/17/2024,7643.25,140
,,Madelene Upcott,Canada   ,Manuka Honey Choco,12/13/2023,8174.25,598
,,Van Tuxwell,USA,Smooth Silky Salty,03/08/2023,6914.25,5
,,Oby Sorrel,New Zealand ,Orange Choco,10/23/2023,6025.5,20
,,Madelene Upcott,UK ,Manuka Honey Choco,02/06/2024,4131,533
,,Dotty Strutley,Canada  ,Organic Choco Syrup,03/03/2023,10098,205
,,Beverie Moffet,Australia ,Eclairs,02/08/2023,4511.25,689
,,Karlen McCaffrey,UK,Eclairs,06/28/2023,6025.5,409
,,Barr Faughny,New Zealand ,White Choc,04/10/2023,3145.5,127
,,Wilone O'Kielt,UK  ,Smooth Silky Salty,10/18/2023,8025.75,319
,,Brien Boise,USA  ,50% Dark Bites,04/10/2023,150.75,126
,,Gigi Bohling,Canada  ,Orange Choco,12/20/2023,13338,437
,,Dotty Strutley,Canada,Baker's Choco Chips,01/11/2024,6099.75,347
,,Marney O'Breen,Canada,Mint Chip Choco,09/05/2023,2335.5,324
,,Oby Sorrel,Australia ,Spicy Special Slims,07/12/2023,3735,335
,,Curtice Advani,New Zealand ,After Nines,11/29/2023,6592.5,275
,,Camilla Castle,UK  ,Baker's Choco Chips,05/16/2023,5499,328
,,Ches Bonnell,New Zealand   ,Orange Choco,02/16/2024,369,379
,,Rafaelita Blaksland,UK,Choco Coated Almonds,01/12/2024,796.5,18
,,Ches Bonnell,New Zealand,Milk Bars,10/04/2023,2706.75,451
,,Karlen McCaffrey,India  ,99% Dark & Pure,07/14/2023,7512.75,11
,,Rafaelita Blaksland,UK ,Drinking Coco,10/18/2023,5080.5,61
,,Karlen McCaffrey,India   ,Drinking Coco,08/25/2023,4250.25,156
,,Karlen McCaffrey,USA  ,Baker's Choco Chips,02/19/2024,7069.5,663
,,Barr Faughny,Australia,Milk Bars,02/01/2023,6338.25,109
,,Brien Boise,India  ,Raspberry Choco,09/25/2023,1462.5,652
,,Wilone O'Kielt,Australia   ,Eclairs,08/18/2023,4414.5,435
,,Wilone O'Kielt,Australia ,Baker's Choco Chips,01/10/2024,2234.25,58
,,Gigi Bohling,Australia  ,Eclairs,12/14/2023,6736.5,1024
,,Rafaelita Blaksland,New Zealand  ,99% Dark & Pure,08/25/2023,8986.5,235
,,Dennison Crosswaite,Canada,Orange Choco,11/06/2023,4828.5,758
,,Barr Faughny,Canada ,85% Dark Bars,11/08/2023,8275.5,26
,,Karlen McCaffrey,UK ,Organic Choco Syrup,02/29/2024,5636.25,666
,,Marney O'Breen,New Zealand ,99% Dark & Pure,10/20/2023,8606.25,107
,,Kaine Padly,India  ,Fruit & Nut Bars,10/17/2023,10561.5,933
,,Kaine Padly,UK   ,Drinking Coco,04/28/2023,6275.25,238
,,Ches Bonnell,UK  ,Almond Choco,02/21/2023,5760,125
,,Gunar Cockshoot,New Zealand,Organic Choco Syrup,07/28/2023,5856.75,94
,,Oby Sorrel,UK  ,White Choc,05/09/2023,5809.5,415
,,Andria Kimpton,New Zealand   ,85% Dark Bars,08/30/2023,7566.75,13
,,Madelene Upcott,India,Choco Coated Almonds,05/01/2023,571.5,120
,,Andria Kimpton,Australia  ,70% Dark Bites,07/06/2023,5134.5,594
,,Gigi Bohling,Australia,Spicy Special Slims,06/29/2023,17838,115
,,Barr Faughny,UK   ,Raspberry Choco,08/25/2023,1208.25,1436
,,Oby Sorrel,USA   ,Choco Coated Almonds,07/10/2023,5494.5,363
,,Ches Bonnell,Australia  ,Fruit & Nut Bars,05/17/2023,15086.25,406
,,Jehu Rudeforth,Canada,50% Dark Bites,10/26/2023,8934.75,188
,,Gigi Bohling,India   ,70% Dark Bites,10/12/2023,2524.5,603
,,Jehu Rudeforth,UK  ,Baker's Choco Chips,12/22/2023,1147.5,560
,,Van Tuxwell,UK ,Milk Bars,03/14/2023,8793,98
,,Ches Bonnell,USA ,Spicy Special Slims,12/27/2023,8799.75,268
,,Kaine Padly,Australia   ,Mint Chip Choco,06/07/2023,3255.75,74
,,Rafaelita Blaksland,Canada ,Organic Choco Syrup,11/30/2023,265.5,134
,,Dennison Crosswaite,UK  ,Eclairs,10/19/2023,4473,283
,,Madelene Upcott,USA ,70% Dark Bites,01/25/2024,9225,251
